"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","116","function upscaleWith2dFallback(tempImg, canvas, scale) {","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","168","            runtimeLog('webgl:fallback-2d', {","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","169","                reason: 'webgl-error',","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","175","            upscaleWith2dFallback(tempImg, canvas, fallbackScale);","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","176","            return `2D_FALLBACK_${fallbackScale}X`;","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","185","        runtimeLog('webgl:fallback-2d', {","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","186","            reason: 'empty-canvas',","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","191","        upscaleWith2dFallback(tempImg, canvas, fallbackScale);","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","192","        return `2D_FALLBACK_${fallbackScale}X`;","webgl.js","C:\Users\andre\repo\nh-scaler\src\runtime\adapters\engines\webgl.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","907","function upscaleWith2dFallback(tempImg, canvas, scale) {","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","959","            runtimeLog('webgl:fallback-2d', {","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","960","                reason: 'webgl-error',","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","966","            upscaleWith2dFallback(tempImg, canvas, fallbackScale);","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","967","            return `2D_FALLBACK_${fallbackScale}X`;","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","976","        runtimeLog('webgl:fallback-2d', {","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","977","            reason: 'empty-canvas',","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","982","        upscaleWith2dFallback(tempImg, canvas, fallbackScale);","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
"True","983","        return `2D_FALLBACK_${fallbackScale}X`;","runtime.bundle.js","C:\Users\andre\repo\nh-scaler\src\runtime\runtime.bundle.js","webgl:fallback-2d|2D_FALLBACK_|upscaleWith2dFallback|empty-canvas|webgl-error",,"System.Text.RegularExpressions.Match[]"
